item_name,item_id,item_category_id,item_price
! ВО ВЛАСТИ НАВАЖДЕНИЯ (ПЛАСТ.)         D,0,40,58.0
"!ABBYY FineReader 12 Professional Edition Full [PC, Цифровая версия]",1,76,4490.0
***В ЛУЧАХ СЛАВЫ   (UNV)                    D,2,40,58.0
***ГОЛУБАЯ ВОЛНА  (Univ)                      D,3,40,100.0
***КОРОБКА (СТЕКЛО)                       D,4,40,58.0
***НОВЫЕ АМЕРИКАНСКИЕ ГРАФФИТИ  (UNI)             D,5,40,28.0
***УДАР ПО ВОРОТАМ (UNI)               D,6,40,100.0
***УДАР ПО ВОРОТАМ-2 (UNI)               D,7,40,28.0
***ЧАЙ С МУССОЛИНИ                     D,8,40,58.0
***ШУГАРЛЭНДСКИЙ ЭКСПРЕСС (UNI)             D,9,40,58.0
*ЗА ГРАНЬЮ СМЕРТИ                       D,10,40,28.0
*ЛИНИЯ СМЕРТИ                           D,11,40,58.0
*МИХЕЙ И ДЖУМАНДЖИ  Сука любовь,12,55,189.0
*СПАСАЯ ЭМИЛИ                           D,13,40,58.0
*ЧОКНУТЫЙ ПРОФЕССОР /МАГИЯ/             D,14,40,28.0
//АДРЕНАЛИН: ОДИН ПРОТИВ ВСЕХ (Регион),15,40,58.0
//МОНГОЛ С.Бодров (Регион),16,40,58.0
//НЕ ОСТАВЛЯЮЩИЙ СЛЕДА (Регион),17,40,98.0
/БОМБА ДЛЯ НЕВЕСТЫ /2DVD/               D,18,40,58.0
/ЗОЛОТАЯ КОЛЛЕКЦИЯ м/ф-72,19,40,28.0
/ОДНАЖДЫ В КИТАЕ-2,20,40,58.0
/ПОСЛЕДНИЙ ШАНС,21,40,58.0
/ПРОКЛЯТЬЕ ЭЛЬ ЧАРРО,22,40,28.0
/СЕВЕР И ЮГ /Ч.2/,23,40,28.0
/СМЕРТЕЛЬНЫЙ РАСКЛАД,24,40,98.0
/ТЫ  - ТРУП,25,40,58.0
/УМНОЖАЮЩИЙ ПЕЧАЛЬ т.2 (сер.3-4),26,40,58.0
"007 Legends [PS3, русская версия]",27,19,2499.0
"007 Legends [PС, Jewel, русская версия]",28,30,549.0
"007 Legends [Xbox 360, русская версия]",29,23,2499.0
007: КООРДИНАТЫ «СКАЙФОЛЛ»,30,40,399.0
007: КООРДИНАТЫ «СКАЙФОЛЛ» (BD),31,37,699.0
1+1,32,40,349.0
1+1 (BD),33,37,499.0
10 000 ЛЕТ ДО НАШЕЙ ЭРЫ WB (регион),34,40,149.0
10 ЛЕТ СПУСТЯ,35,40,399.0
10 ЛЕТ СПУСТЯ (BD),36,37,549.0
10 ЛЕТ СПУСТЯ (регион),37,40,149.0
10 САМЫХ ПОПУЛЯРНЫХ КИНОКОМЕДИЙ ХХ ВЕКА  10DVD (rem),38,41,2399.0
10 САМЫХ ПОПУЛЯРНЫХ ОТЕЧЕСТВЕННЫХ КОМЕДИЙ ХХ ВЕКА (BD),39,41,5499.0
100 Best classical melodies (mp3-CD) (Digipack),40,57,249.0
100 Best relax melodies (mp3-CD) (CD-Digipack),41,57,249.0
100 Best romantic melodies (mp3-CD) (Digipack),42,57,249.0
100 МИЛЛИОНОВ ЕВРО,43,40,248.0
